Date,Tsunami,Magma_Lava Flow,Fuming_Level ,Seismic_Signal,Gas_Emission,Aviation_Color_Code,Volcano_Alert_Level
1315440000,0,2,1,0,2,2,2
1315526400,0,2,1,0,2,2,2
1315612800,0,2,1,0,2,2,2
1315699200,0,2,1,0,2,2,2
1315785600,0,2,1,0,2,2,2
1315872000,0,2,1,0,2,2,2
1315958400,0,2,1,0,2,2,2
1316044800,0,2,1,0,2,2,2
1316131200,0,2,1,0,2,2,2
1316217600,0,2,1,0,2,2,2
1316304000,0,2,1,0,2,2,2
1316390400,0,2,1,0,2,2,2
1316476800,0,2,1,0,2,2,2
1316563200,0,2,1,0,2,2,2
1316649600,0,2,1,0,2,2,2
1316736000,0,2,1,0,2,2,2
1316822400,0,2,1,0,2,2,2
1316908800,0,2,1,0,2,2,2
1316995200,0,2,1,0,2,2,2
1317081600,0,2,1,0,2,2,2
1317168000,0,2,1,0,2,2,2
1317254400,0,2,1,0,2,2,2
1317340800,0,2,1,0,2,2,2
1317427200,0,2,1,0,2,2,2
1317513600,0,2,1,0,2,2,2
1317600000,0,2,1,0,2,2,2
1317686400,0,2,1,0,2,2,2
1317772800,0,2,1,0,2,2,2
1317859200,0,2,1,0,2,2,2
1317945600,0,2,1,0,2,2,2
1318032000,0,2,1,0,2,2,2
1318118400,0,2,1,0,2,2,2
1318204800,0,2,1,0,2,2,2
1318291200,0,2,1,0,2,2,2
1318377600,0,2,1,0,2,2,2
1318464000,0,2,1,0,2,2,2
1318550400,0,2,1,0,2,2,2
1318636800,0,2,1,0,2,2,2
1318723200,0,2,1,0,2,2,2
1318809600,0,2,1,0,2,2,2
1318896000,0,2,1,0,2,2,2
1318982400,0,2,1,0,2,2,2
1319068800,0,2,1,0,2,2,2
1319155200,0,2,1,0,2,2,2
1319241600,0,2,1,0,2,2,2
1319328000,0,2,1,0,2,2,2
1319414400,0,2,1,0,2,2,2
1319500800,0,2,1,0,2,2,2
1319587200,0,2,1,0,2,2,2
1319673600,0,2,1,0,2,2,2
1319760000,0,2,1,0,2,2,2
1319846400,0,2,1,0,2,2,2
1319932800,0,2,1,0,2,2,2
1320019200,0,2,1,0,2,2,2
1320105600,0,2,1,0,2,2,2
1320192000,0,2,1,0,2,2,2
1320278400,0,2,1,0,2,2,2
1320364800,0,2,1,0,2,2,2
1320451200,0,2,1,0,2,2,2
1320537600,0,2,1,0,2,2,2
1320624000,0,2,1,0,2,2,2
1320710400,0,2,1,0,2,2,2
1320796800,0,2,1,0,2,2,2
1320883200,0,2,1,0,2,2,2
1320969600,0,2,1,0,2,2,2
1321142400,0,2,1,0,2,2,2
1321228800,0,2,1,0,2,2,2
1321315200,0,2,1,0,2,2,2
1321401600,0,2,1,0,2,2,2
1321488000,0,2,1,0,2,2,2
1321574400,0,2,1,0,2,2,2
1321660800,0,2,1,0,2,2,2
1321747200,0,2,1,0,2,2,2
1321833600,0,2,1,0,2,2,2
1321920000,0,2,1,0,2,2,2
1322006400,0,2,1,0,2,2,2
1322092800,0,2,1,0,2,2,2
1322179200,0,2,1,0,2,2,2
1322265600,0,2,1,0,2,2,2
1322352000,0,2,1,0,2,2,2
1322438400,0,2,1,0,2,2,2
1322524800,0,2,1,0,2,2,2
1322611200,0,2,1,0,2,2,2
1322697600,0,2,1,0,2,2,2
1322784000,0,2,1,0,2,2,2
1322870400,0,2,1,0,2,2,2
1322956800,0,2,1,0,2,2,2
1323043200,0,2,1,0,2,2,2
1323129600,0,2,1,0,2,2,2
1323216000,0,2,1,0,2,2,2
1323302400,0,2,1,0,2,2,2
1323388800,0,2,1,0,2,2,2
1323475200,0,2,1,0,2,2,2
1323561600,0,2,1,0,2,2,2
1323648000,0,2,1,0,2,2,2
1323734400,0,2,1,0,2,2,2
1323820800,0,2,1,0,2,2,2
1323907200,0,2,1,0,2,2,2
1323993600,0,2,1,0,2,2,2
1324080000,0,2,1,0,2,2,2
1324166400,0,2,1,0,2,2,2
1324252800,0,2,1,0,2,2,2
1324339200,0,2,1,0,2,2,2
1324425600,0,2,1,0,2,2,2
1324512000,0,2,1,0,2,2,2
1324598400,0,2,1,0,2,2,2
1324684800,0,2,1,0,2,2,2
1324771200,0,2,1,0,2,2,2
1324857600,0,2,1,0,2,2,2
1324944000,0,2,1,0,2,2,2
1325030400,0,2,1,0,2,2,2
1325116800,0,2,1,0,2,2,2
1325203200,0,2,1,0,2,2,2
1325289600,0,2,1,0,2,2,2
1325376000,0,2,1,0,2,2,2
1325462400,0,2,1,0,2,2,2
1325548800,0,2,1,0,2,2,2
1325635200,0,2,1,0,2,2,2
1325721600,0,2,1,0,2,2,2
1325808000,0,2,1,0,2,2,2
1325894400,0,2,1,0,2,2,2
1325980800,0,2,1,0,2,2,2
1326067200,0,2,1,0,2,2,2
1326153600,0,2,1,0,2,2,2
1326240000,0,2,1,0,2,2,2
1326326400,0,2,1,0,2,2,2
1326412800,0,2,1,0,2,2,2
1326499200,0,2,1,0,2,2,2
1326585600,0,2,1,0,2,2,2
1326672000,0,2,1,0,2,2,2
1326758400,0,2,1,0,2,2,2
1326844800,0,2,1,0,2,2,2
1326931200,0,2,1,0,2,2,2
1327017600,0,2,1,0,2,2,2
1327104000,0,2,1,0,2,2,2
1327190400,0,2,1,0,2,2,2
1327276800,0,2,1,0,2,2,2
