Date,Tsunami,Name,VEI,Magma_Lava Flow,Fuming_Level ,Seismic_Signal,Gas_Emission,Acoustic_signal_collected,Gravity_Description,Deaths,Injures,Damage,Houses_Destroyed,Volcano_Alert_Level,Aviation_Color_Code
1271808000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1271894400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1271980800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272067200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272153600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272240000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272326400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272412800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272499200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272585600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272672000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272758400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272844800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272931200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273017600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273104000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273190400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273276800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273363200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273449600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273536000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273622400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273708800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273795200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273881600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273968000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274054400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274140800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274227200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274313600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274400000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274486400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274572800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274659200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274745600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274832000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274918400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1275004800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1275091200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1275177600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1275264000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1275350400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1275436800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1275523200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1275609600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1275696000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1275782400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1275868800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1275955200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1276041600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1276128000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1276214400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1276300800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1276387200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1276473600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1276560000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1276646400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1276732800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1276819200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1276905600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1276992000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1277078400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1277164800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1277251200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1277337600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1277424000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1277510400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1277596800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1277683200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1277769600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1277856000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1277942400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1278028800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1278115200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1278201600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1278288000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1278374400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1278460800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1278547200,0,0,0,2,1,2,2,0,0,0,0,0,0, WATCH, ORANGE
1278633600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1278720000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1278806400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1278892800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1278979200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1279065600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1279152000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1279238400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1279324800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1279411200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1279497600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1279584000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1279670400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1279756800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1279843200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1279929600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1280016000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1280102400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1280188800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1280275200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1280361600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1280448000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1280534400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1280620800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1280707200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1280793600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1280880000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1280966400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1281052800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1281139200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1281225600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1281312000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1281398400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1281484800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1281571200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1281657600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1281744000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1281830400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1281916800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1282003200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1282089600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1282176000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1282262400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1282348800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1282435200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1282521600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1282608000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1282694400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1282780800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1282867200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1282953600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1283040000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1283126400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1283212800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1283299200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1283385600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1283472000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1283558400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1283644800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1283731200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1283817600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1283904000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1283990400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1284076800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1284163200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1284249600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1284336000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1284422400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
